Deteccion,Seguimiento,avg,maxi,mini
0,Boosting,0.15281360081036632,0.5198776758409785,0.029567053854276663
0,MIL,0.15281360081036632,0.5198776758409785,0.029567053854276663
0,KCF,0.19491231502093803,0.6666666666666666,0.004201680672268907
0,TLD,0.15281360081036632,0.5198776758409785,0.029567053854276663
0,MEDIANFLOW,0.550183194632017,0.6927083333333334,0.2612137203166227
0,CSRT,0.267443882733792,0.6188925081433225,0.029567053854276663
0,MOSSE,0.23178033554429917,0.6927083333333334,0.04265402843601896
1,Boosting,0.15281360081036632,0.5198776758409785,0.029567053854276663
1,MIL,0.15281360081036632,0.5198776758409785,0.029567053854276663
1,KCF,0.19491231502093803,0.6666666666666666,0.004201680672268907
1,TLD,0.15281360081036632,0.5198776758409785,0.029567053854276663
1,MEDIANFLOW,0.550183194632017,0.6927083333333334,0.2612137203166227
1,CSRT,0.267443882733792,0.6188925081433225,0.029567053854276663
1,MOSSE,0.23178033554429917,0.6927083333333334,0.04265402843601896
